Context,English,Chinese_Traditional,Chinese
"item_bow_finewood","Finewood bow","細木弓","细木弓"
"item_bow_finewood_description","A simple bow of strong and supple wood.","簡易的弓，用結實柔韌的木頭製成。","简易的弓，用结实柔韧的木头制成。 "
"item_bow_huntsman","Huntsman bow","獵弓","猎户弓"
"item_bow_huntsman_description","Finely worked and strung, a huntsman's joy.","精緻而強韌，獵人的最愛。","精致而强韧，猎人的最爱。 "
"item_bread","Bread","麵包","面包"
"item_bread_description","A tasty loaf of bread.","一塊美味的麵包。","一整块美味的面包。 "
"item_bronze","Bronze","青銅錠","青铜"
"item_bronze_description","A strong alloy of copper and tin.","銅與錫製成的堅固合金。","铜与锡制成的坚固合金。 "
"item_bronzenails","Bronze nails","青銅釘","青铜钉"
"item_bronzenails_description","Used in construction of ships and furniture.","用於建造船隻及家具。","用于建造船只及家具。 "
"item_cape_deerhide","Deer hide cape","鹿皮斗篷","鹿皮斗篷"
"item_cape_deerhide_description","Rustic chic.","樸素別致。","朴素别致。 "
"item_cape_linen","Linen cape","亞麻披風","亚麻披风"
"item_cape_linen_description","A simple traveler's cape.","一件簡單的旅行者披風。","一件简单的行者披风。 "
"item_cape_lox","Lox cape","平原氂牛披風","平原牦牛披风"
"item_cape_lox_description","A pelt from one of the great beasts, thick and warm.","一張從厲害的野獸身上獵來的皮，厚實而温暖。","一张从最厉害的野兽身上猎来的皮，厚实而温暖。 "
"item_cape_odin","Cape of Odin","奥丁的披風","奥丁的披风"
"item_cape_odin_description","Odin's finest warriors deserve the finest cloth.","為配上奥丁最優秀的戰士的最出色服飾。","奥丁最棒的战士值得最好的服饰。 "
"item_cape_trollhide","Troll hide cape","巨魔皮斗篷","巨魔皮斗篷"
"item_cape_trollhide_description","Trollskin is tough and supple.","巨魔皮堅韌而舒適。","巨魔皮坚韧而舒适。 "
"item_cape_wolf","Wolf fur cape","狼毛披風","狼毛披风"
"item_cape_wolf_description","Wolves are natural survivors. This one was just unlucky. Now its pelt will warm you in the snow.","狼是天生的生存強者。 只是這一匹比較倒楣。 它的皮毛在雪中溫暖您。","狼是天生的生存强者。 只是这一匹比较倒霉。 现在，它的皮毛将在雪中温暖您。 "
"item_carrot","Carrot","胡蘿蔔","胡萝卜"
"item_carrot_description","An orange treat.","橙色菜餚。","橙色菜肴。 "
"item_carrotseeds","Carrot seeds","胡蘿蔔種子","胡萝卜种子"
"item_carrotseeds_description","Plant these if you like carrots...","你可以種植它們，如果你喜歡胡蘿蔔的話。","你可以种植它们，如果你喜欢胡萝卜的话。 "
"item_carrotsoup","Carrot soup","胡蘿蔔湯","胡萝卜汤"
"item_carrotsoup_description","A warm tasty soup made of mostly carrots.","由胡蘿蔔做成的溫暖美味的湯。","温暖美味的汤，主要由胡萝卜做成。 "
"item_chain","Chain","鎖鏈","锁链"
"item_chain_description","A link of iron chain.","一條鐵鏈。","一条铁链。 "
"item_chest_bronze","Bronze plate cuirass","青銅板甲","青铜板甲"
"item_chest_bronze_description","A breastplate of hammered bronze.","將青銅錘打後製成的胸甲。","将青铜锤打后制成的胸甲。 "
"item_chest_iron","Iron scale mail","鐵鱗甲","铁鳞甲"
"item_chest_iron_description","An iron scale mail, this will turn all but the strongest of blows.","鐵鱗甲，幾乎能擋下除最強一擊之外的攻擊。","铁鳞甲，几乎能挡下除最强一击之外的所有攻击。 "
"item_chest_leather","Leather tunic","皮胸甲","皮胸甲"
"item_chest_leather_description","A tunic made from animal hide.","動物皮毛製成的胸甲。","动物皮毛制成的胸甲。 "
"item_chest_pcuirass","Padded cuirass","厚胸甲","厚胸甲"
"item_chest_pcuirass_description","Finely wrought and strong enough to turn even the sharpest blades.","做工精細且堅固到足以格擋最尖銳的刀。","做工精细且坚固到足以格挡最尖锐的匕首。 "
"item_chest_rags","Rag tunic","布束腰衣","布束腰衣"
"item_chest_rags_description","Better than nothing.","總好過什麼也不穿。","总比啥也不穿强。 "
"item_chest_trollleather","Troll leather tunic","巨魔皮胸甲","巨魔皮胸甲"
"item_chest_trollleather_description","Trolls are hard to skin but their leather is tough and warm.","巨魔的皮很難剝，但是它們的皮結實又保暖。","巨魔的皮很难剥，但是它们的皮结实又保暖。 "
"item_chest_wolf","Wolf armor chest","銀質霜狼胸甲","银质霜狼胸甲"
"item_chest_wolf_description","A wolfskin jerkin, warm and wild-looking. It protects against the cold.","野性溫暖的一件狼皮甲，讓你不懼嚴寒。","一件狼皮短上衣，非常温暖，看上去十分野性，让你不惧严寒。 "
"item_chitin","Chitin","甲殼素","甲壳素"
"item_chitin_description","A shard of crustacean shell.","一塊貝類碎片。","一块贝类碎片。 "
"item_cloudberries","Cloudberries","雲莓","云莓"
"item_cloudberries_description","The gold of the forest.","林中黄金。","林中黄金。 "
"item_club","Club","棍子","棍子"
"item_club_description","A crude but useful weapon.","粗糙但有效的武器。","粗糙但有用的武器。 "
"item_coal","Coal","木炭","木炭"
"item_coal_description","A lump of coal.","一塊木炭。","一块木炭。 "
"item_coin","Coin","硬幣","硬币"
"item_coin_description","A golden coin.","一塊金幣。","一块金色的硬币。 "
"item_coins","Coins","貨幣","货币"
"item_coins_description","<color=yellow>Valuable</color>","<color=yellow>有錢能使鬼推磨</color>","<color=yellow>贵重的</color>"
"item_copper","Copper","銅錠","铜"
"item_copper_description","A bar of pure copper ready to be worked.","一塊純銅可用於加工。","一条可供制作的纯铜。 "
"item_copperore","Copper ore","銅礦","铜矿"
"item_copperore_description","Unrefined copper. Needs to be refined in a smelter.","未精煉的銅。 需要放入熔爐中精煉。","未精炼的铜。 需要放入炼炉中精炼。 "
"item_crafter","Crafted by","製作者","制作者"
"item_cryptkey","Swamp key","沼澤金鑰","沼泽密钥"
"item_cryptkey_description","Partly covered in caked mud, it smells foetid.","一部分被糕狀的淤泥遮住了，聞起來臭烘烘的。","一部分被糕状的淤泥遮住了，闻起来臭烘烘的。 "
"item_crystal","Crystal","水晶","水晶"
"item_crystal_description","A shard of crystal from deep within the earth.","一塊來自地底深處的水晶","一块来自地心深处的水晶"
"item_cultivator","Cultivator","耕地鈀","耕地钯"
"item_cultivator_description","A farming tool for tilling soil.","犁地用的農具。","犁地用的农具。 "
"item_dandelion","Dandelion","蒲公英","蒲公英"
"item_dandelion_description","A dandelion.","一株蒲公英。","一颗蒲公英。 "
"item_deerhide","Deer hide","鹿皮","鹿皮"
"item_deerhide_description","A cleaned hide from a deer.","清理乾淨的鹿皮。","清理干净的鹿皮。 "
"item_deflection","Parry force","招架力","招架力"
"item_deflection_OLD","Deflection","反射","反射"
"item_destructible_gucksack","Guck sack","樹膿包","树脓包"
"item_dlc","DLC item","DLC物品","DLC物品"
"item_dragonegg","Dragon egg","龍蛋","龙蛋"
"item_dragonegg_description","Far heavier than it looks, with a faint humming sound from within.","比看起來重多了，裡面還嗡嗡作響。","比看上去重多了，里嗡嗡作响。 "
"item_dragontear","Dragon tear","龍之淚","龙之泪"
"item_dragontear_description","The last frozen tears of a dragon, pulsating with mysterious energy.","龍的最後一滴冰冷的眼淚，充斥著神秘的力量。","龙的最后一滴冰冷的眼泪，充斥着神秘的力量。 "
"item_durability","Durability","耐久力","耐久力"
"item_elderbark","Ancient bark","古樹皮","古树皮"
"item_elderbark_description","An ancient and sturdy material.","古老而堅固的材料。","古老而坚固的材料。 "
"item_entrails","Entrails","內臟","内脏"
"item_entrails_description","A slimy length of something's insides.","一條黏糊糊內臟","一条黏糊糊内脏"
"item_feathers","Feathers","羽毛","羽毛"
"item_feathers_description","A small pile of feathers.","一小堆羽毛。","一小堆羽毛。 "
"item_finewood","Fine wood","細木","细木"
"item_finewood_description","High quality wood for fine carpentry.","高品質木材，用於精細木工。","高品质木材，用于精细木工。 "
"item_fircone","Fir cone","冷杉球果","冷杉球果"
"item_fircone_description","Plant it to grow a fir tree.","種下就能長成冷杉樹。","种下就能长成冷杉树。 "
"item_fish_cooked","Cooked fish","熟魚肉","熟鱼肉"
"item_fish_cooked_description","A tasty side of smoked fish.","可口的烤魚肉。","可口的烤鱼肉。 "
"item_fish_raw","Raw fish","生魚肉","生鱼肉"
"item_fish_raw_description","A good catch.","你做到了!","干的漂亮。 "
"item_fishingbait","Fishing bait","魚餌","鱼饵"
"item_fishingbait_description","Common dvergr fishing bait. Fishing rod sold separately.","普通的矮人魚餌。 不和魚竿一起銷售。","普通的矮人鱼饵。 不和鱼竿一起销售。 "
"item_fishingrod","Fishing rod","釣魚竿","鱼竿"
"item_fishingrod_description","Standard issue dvergr fishing rod.","標準矮人釣魚竿。","标准矮人钓鱼竿。 "
"item_fishwraps","Fish wraps","魚肉卷","鱼肉卷"
"item_fishwraps_description","Bread and fish, what more to wish?","麵包和魚，夫復何求？","面包和鱼，神界值得！"
"item_flametal","Flametal","焰金屬","焰金属"
"item_flametal_description","The pure, shimmering core of a meteorite.","純淨而閃著微光的隕石核心。","纯净而闪着微光的陨石核心。 "
"item_flametalore","Flametal ore","焰金屬礦","焰金属矿"
"item_flametalore_description","Warm to the touch with glowing veins of strange metal. Needs to be refined in a smelter.","摸起來很溫暖，有著發光紋理的奇怪金屬。 需要放入熔爐中精煉。","摸起来很温暖，有着发光纹理的奇怪金属。 需要放入炼炉中精炼。 "
"item_flax","Flax","亞麻","亚麻"
"item_flax_description","Unspun fibers from a flax plant.","未被紡織的亞麻纖維。","未被纺织的亚麻纤维。 "
"item_flint","Flint","燧石","燧石"
"item_flint_description","Can be shaped into sharp blades.","可以打磨成利刃。","可以打磨成利刃。 "
"item_food","Food","食物","食物"
"item_food_duration","Duration","持續","持续"
"item_food_health","Health","生命力","健康"
"item_food_regen","Healing","治療","治疗"
"item_food_stamina","Stamina","耐力","耐力"
"item_freezegland","Freeze gland","霜龍淋巴","霜龙淋巴"
"item_freezegland_description","This mysterious organ keeps a perfect temperature.","這塊神秘的器官一直保持著完美的温度。","这块神秘的脏器一直保持着完美的温度。 "
"item_goblintotem","Fuling totem","哥布林圖騰","丑地精图腾"
"item_goblintotem_description","Channels the ancient power of Yagluth.","可以召喚亞格魯斯的古老力量。","可以召唤亚格鲁斯的古老力量。 "
"item_greydwarfeye","Greydwarf eye","灰矮人之眼","灰矮人之眼"
"item_greydwarfeye_description","The milky eyeball of a Greydwarf.","濕漉漉的灰矮人眼睛。","湿漉漉的灰矮人眼睛。 "
"item_guck","Guck","樹膿","树脓"
"item_guck_description","It smells like fermented fish.","聞起來像是發酵過的魚。","闻起来像是发酵过的鱼。 "
"item_hammer","Hammer","工具錘","工具锤"
"item_hammer_description","With this to your hand, you can raise high halls and mighty fortifications.","有它在手，可以建起高大的廳堂和強大的堡壘。","有它在手，可以建起高大的厅堂和强大的堡垒。 "
"item_hardantler","Hard antler","硬鹿角","硬鹿角"
"item_hardantler_description","A piece of very hard antler.","一塊非常堅硬的鹿角。","一块非常坚硬的鹿角。 "
"item_helmet_bronze","Bronze helmet","青銅頭盔","青铜头盔"
"item_helmet_bronze_description","This will help to keep your brains inside your skull.","它能保住你的頭。","它能保住你的头。 "
"item_helmet_bronzehorned","Horned bronze helmet","帶角青銅頭盔","带角青铜头盔"
"item_helmet_bronzehorned_description","Bronze helmet with attached horns for extra awesome.","用角裝飾的青銅頭盔。","青铜头盔，装着角饰。 "
"item_helmet_drake","Drake helmet","霜龍頭盔","霜龙头盔"
"item_helmet_drake_description","An elaborate and finely-crafted helm.","製作精良的頭盔。","制作精良的头盔。 "
"item_helmet_dverger","Dverger circlet","矮人光環","矮人光环"
"item_helmet_dverger_description","A portable perpetual lightsource for the dungeon explorer.","地牢探索者用的便攜式不滅光源。","地牢探索者用的便携式不灭光源。 "
"item_helmet_iron","Iron helmet","鐵頭盔","铁头盔"
"item_helmet_iron_description","A helm of polished iron, fit for a hero.","將鐵打磨後製成的頭盔，專為英雄而製。","将铁打磨后制成的头盔，专为英雄而制。 "
"item_helmet_leather","Leather helmet","皮頭盔","皮头盔"
"item_helmet_leather_description","A hood of toughened leather.","硬皮製成的頭套。","硬皮制成的头套。 "
"item_helmet_odin","Hood of Odin","奧丁的頭罩","奥丁的头罩"
